So You back Mm Can you think about what your earliest memory is Yes yes my earliest 
memory would be I was born in 1944 so my earliest memory would probably be about 1947 
or 8 when I was 4 year old and I had gone to the ponds to get 
some fish And I had a jam jar with some string round it and I had a 
fishing net and I had about 15 Little minnows in the water and I was really really 
happy So I brought it back and I was climbing up the stairs to go into the 
house to show off my catch and the a girl who lived above me who sadly was 
Down syndrome And and was a wee bit aggressive Came up the stairs grabbed the jar swung 
it as hard as she could It against the wall And all the fish were in a 
big puddle on the steps squirming about and the just the noise of the glass crashing And 
then all these little minnows squirming in the pond was just too much for me And I 
evidently rang Off You know yelling my head off and I do know what happened to her 
Then You know she could do the help but she was She was She was right Sheila 
name was And that that one of my earliest memories Of And we lived That was in 
Craigie in the tenement A room in the kitchen Five of us in that House mother was 
6 but then my dad died Five of us in that house my mom two brothers and 
a sister and myself And I was the youngest And the toilet was on the stair There 
was no electricity until just before we left that we had gas Lamps And we left Craigie 
in when I was 7 so that would be 1951 We left Cleggie in just It was 
just before that that they got electric lighting in these houses The outside was lit by gas 
lamp Know the outside lights In the street and on the stairs the man the Lamplighter came 
at night and put the lights on and came in the morning and put them off There 
was a natural lump later And he came with a great big long pole that he would 
cause the gas lamps were really high up to keep them away from the kids So he 
came up with a great big long pole and I do know how he did it but 
he just seemed to stick the pole into the glass And the light either went on or 
went off I never get discovered what that poem was all about but that was what he 
did so it was It was a A colorful place to live in many ways And I 
have How old were you when your dad died I was just coming up for two when 
my dad died He had some some injuries in the war and when he came home from 
the war he was most unwell and he developed tuberculosis And there was no cure for tuberculosis 
in these days So he was put into hospital And when it became clear that he was 
going to die my mum took him out of the We were all sent out of the 
House because it was so contagious tuberculosis so we were put away from the House you know 
ferried out to different people to look after us And my mum looked after him And then 
he died And the five of us stayed on in the house until as I say 19 
51 and then we were sent out to me was the country and was a bungalow And 
the Council had started to decant people from the centre of the city Out to the housing 
schemes which virtually were built in the country and certainly for us townies we were surrounded by 
fields in the housing estate that we were sent to So no that was infinitely Infinitely And 
there was 3 bedrooms There was a bath which was a huge luxury There was a bath 
And the toilet And of course the biggest luxury was that it was indoors You know we 
did have to go out to the toilet And we had a proper kitchen and a living 
room and a front and back door and a garden And that was incredible for for And 
I only had a short experience of my life in a tenement But for people who were 
born and bred and brought up in tenements all their lives to move out to a council 
house in the country With all these facilities was just amazing But one of the problems with 
that was the Council were not very long sighted because they put people out there There was 
no infrastructure built The roads were completed so there was no transport could come out there There 
was no shops so it meant that people had to walk into town Now it was that 
far It was that far but It did mean hike into town for shopping Then the started 
through time to have some Vans come You know a Baker van would come out and a 
butcher van and a fish van But of course they were expensive because they you know they 
had their overheads for their vehicles So most people trekked into the town and then gradually gradually 
shops were built as the schemes developed and got Because we were in the 1st that was 
ever built in Finchley It called Finch Gardens and that was the 1st of this Is now 
a huge Housing estate But when the say when the first steep was built there was there 
was no there was no I mean there was actually no Road was The houses were built 
and they were complete but there was no Rd you know so it was a kind of 
a muddy track up to the house Sounds incredible because it all laid out now and everything 
you know everything you know all the roads are complete and there a huge Neither schools and 
shops and You know clinics and all this kind of thing there now but there was in 
